cell_id,cell_id,level1class,n_genes_by_counts,total_counts,label,n_genes,total_counts_mt,pct_counts_mt
1772071015_B08,1772071015_B08,interneurons,5839,28137.0,interneurons,5840,0.0,0.0
1772071014_C11,1772071014_C11,interneurons,5624,22184.0,interneurons,5624,0.0,0.0
1772067066_E10,1772067066_E10,interneurons,4287,17201.0,interneurons,4287,0.0,0.0
1772067065_F11,1772067065_F11,interneurons,5217,21333.0,interneurons,5218,0.0,0.0
1772071014_H11,1772071014_H11,interneurons,6594,26045.0,interneurons,6594,0.0,0.0
1772071017_B11,1772071017_B11,interneurons,5593,20719.0,interneurons,5595,0.0,0.0
1772071014_A07,1772071014_A07,interneurons,6467,33656.0,interneurons,6467,0.0,0.0
1772071017_B03,1772071017_B03,interneurons,5000,18014.0,interneurons,5003,0.0,0.0
1772071015_B04,1772071015_B04,interneurons,5596,21627.0,interneurons,5597,0.0,0.0
1772071014_D03,1772071014_D03,interneurons,4561,16591.0,interneurons,4562,0.0,0.0
1772067065_D06,1772067065_D06,interneurons,5037,22101.0,interneurons,5037,0.0,0.0
1772067066_H08,1772067066_H08,interneurons,3824,13467.0,interneurons,3824,0.0,0.0
1772067096_G11,1772067096_G11,interneurons,4223,13450.0,interneurons,4224,0.0,0.0
1772071017_G11,1772071017_G11,interneurons,5651,25401.0,interneurons,5652,0.0,0.0
1772067054_E12,1772067054_E12,interneurons,4382,18132.0,interneurons,4382,0.0,0.0
1772067083_B12,1772067083_B12,interneurons,5168,17533.0,interneurons,5168,0.0,0.0
1772067054_G01,1772067054_G01,interneurons,4009,14397.0,interneurons,4009,0.0,0.0
1772067096_A02,1772067096_A02,interneurons,4018,13325.0,interneurons,4018,0.0,0.0
1772067093_H05,1772067093_H05,interneurons,2424,9792.0,interneurons,2424,0.0,0.0
1772067083_B09,1772067083_B09,interneurons,4103,12715.0,interneurons,4103,0.0,0.0
1772071014_H12,1772071014_H12,interneurons,5847,25328.0,interneurons,5848,0.0,0.0
1772067082_H11,1772067082_H11,interneurons,4887,16936.0,interneurons,4887,0.0,0.0
1772067094_D06,1772067094_D06,interneurons,5078,23327.0,interneurons,5079,0.0,0.0
1772071015_F03,1772071015_F03,interneurons,5790,26479.0,interneurons,5790,0.0,0.0
1772071015_B11,1772071015_B11,interneurons,5883,30119.0,interneurons,5883,0.0,0.0
1772071014_G10,1772071014_G10,interneurons,5336,27472.0,interneurons,5336,0.0,0.0
1772067066_B07,1772067066_B07,interneurons,4101,14280.0,interneurons,4101,0.0,0.0
1772067065_G01,1772067065_G01,interneurons,4344,15708.0,interneurons,4345,0.0,0.0
1772071015_F07,1772071015_F07,interneurons,7213,45259.0,interneurons,7213,0.0,0.0
1772067065_E07,1772067065_E07,interneurons,5492,28791.0,interneurons,5493,0.0,0.0
1772071015_C10,1772071015_C10,interneurons,4250,17659.0,interneurons,4250,0.0,0.0
1772067063_E06,1772067063_E06,interneurons,5195,21910.0,interneurons,5196,0.0,0.0
1772067065_A11,1772067065_A11,interneurons,7152,39220.0,interneurons,7152,0.0,0.0
1772071015_G12,1772071015_G12,interneurons,6473,34680.0,interneurons,6473,0.0,0.0
1772067058_D07,1772067058_D07,interneurons,4367,16272.0,interneurons,4367,0.0,0.0
1772067065_D01,1772067065_D01,interneurons,4919,19394.0,interneurons,4919,0.0,0.0
1772071015_A02,1772071015_A02,interneurons,6014,25005.0,interneurons,6014,0.0,0.0
1772071014_F01,1772071014_F01,interneurons,4421,14099.0,interneurons,4421,0.0,0.0
1772071015_D06,1772071015_D06,interneurons,5872,25874.0,interneurons,5872,0.0,0.0
1772071017_B02,1772071017_B02,interneurons,7835,47064.0,interneurons,7835,0.0,0.0
1772071017_D07,1772071017_D07,interneurons,7103,38194.0,interneurons,7104,0.0,0.0
1772071017_A11,1772071017_A11,interneurons,5491,20141.0,interneurons,5493,0.0,0.0
1772071017_B01,1772071017_B01,interneurons,5405,19320.0,interneurons,5406,0.0,0.0
1772071017_C07,1772071017_C07,interneurons,6960,33525.0,interneurons,6963,0.0,0.0
1772071015_H11,1772071015_H11,interneurons,5670,21255.0,interneurons,5671,0.0,0.0
1772071014_A05,1772071014_A05,interneurons,4527,19253.0,interneurons,4527,0.0,0.0
1772071017_A10,1772071017_A10,interneurons,5923,24067.0,interneurons,5924,0.0,0.0
1772071017_C08,1772071017_C08,interneurons,5396,22516.0,interneurons,5398,0.0,0.0
1772071017_B09,1772071017_B09,interneurons,4508,13239.0,interneurons,4508,0.0,0.0
1772067066_A09,1772067066_A09,interneurons,3180,11102.0,interneurons,3180,0.0,0.0
1772067065_A12,1772067065_A12,interneurons,4269,15674.0,interneurons,4269,0.0,0.0
1772071015_G04,1772071015_G04,interneurons,4896,20560.0,interneurons,4896,0.0,0.0
1772067066_B02,1772067066_B02,interneurons,4294,18566.0,interneurons,4295,0.0,0.0
1772071015_E06,1772071015_E06,interneurons,5537,20284.0,interneurons,5537,0.0,0.0
1772067064_E04,1772067064_E04,interneurons,6158,29520.0,interneurons,6160,0.0,0.0
1772071015_C01,1772071015_C01,interneurons,5350,19079.0,interneurons,5351,0.0,0.0
1772071014_F06,1772071014_F06,interneurons,4977,19674.0,interneurons,4977,0.0,0.0
1772071017_D10,1772071017_D10,interneurons,6299,31187.0,interneurons,6300,0.0,0.0
1772071017_C05,1772071017_C05,interneurons,5168,22345.0,interneurons,5170,0.0,0.0
1772071014_E05,1772071014_E05,interneurons,5314,23662.0,interneurons,5314,0.0,0.0
1772071017_E04,1772071017_E04,interneurons,6353,35455.0,interneurons,6353,0.0,0.0
1772058148_D08,1772058148_D08,interneurons,4228,14633.0,interneurons,4228,0.0,0.0
1772067065_F07,1772067065_F07,interneurons,4621,20026.0,interneurons,4621,0.0,0.0
1772062128_G08,1772062128_G08,interneurons,2966,13113.0,interneurons,2966,0.0,0.0
1772066102_B02,1772066102_B02,interneurons,5969,33357.0,interneurons,5969,0.0,0.0
1772063077_B03,1772063077_B03,interneurons,4082,17272.0,interneurons,4082,0.0,0.0
1772062114_H03,1772062114_H03,interneurons,5457,33676.0,interneurons,5457,0.0,0.0
1772066074_A03,1772066074_A03,interneurons,4900,24919.0,interneurons,4901,0.0,0.0
1772066102_C09,1772066102_C09,interneurons,6256,35574.0,interneurons,6256,0.0,0.0
1772062114_E02,1772062114_E02,interneurons,5795,35086.0,interneurons,5797,0.0,0.0
1772063068_G07,1772063068_G07,interneurons,3355,9927.0,interneurons,3357,0.0,0.0
1772062115_A12,1772062115_A12,interneurons,4497,17935.0,interneurons,4498,0.0,0.0
1772062113_F08,1772062113_F08,interneurons,3584,15199.0,interneurons,3584,0.0,0.0
1772066108_B02,1772066108_B02,interneurons,5459,19713.0,interneurons,5462,0.0,0.0
1772066102_G06,1772066102_G06,interneurons,5264,23282.0,interneurons,5264,0.0,0.0
1772067059_E03,1772067059_E03,interneurons,7103,52333.0,interneurons,7103,0.0,0.0
1772071035_G04,1772071035_G04,interneurons,4859,19994.0,interneurons,4859,0.0,0.0
1772066102_C06,1772066102_C06,interneurons,6081,27721.0,interneurons,6081,0.0,0.0
1772067057_H02,1772067057_H02,interneurons,6803,35923.0,interneurons,6805,0.0,0.0
1772062115_G05,1772062115_G05,interneurons,5610,23381.0,interneurons,5611,0.0,0.0
1772066097_G03,1772066097_G03,interneurons,4210,12624.0,interneurons,4210,0.0,0.0
1772063064_G08,1772063064_G08,interneurons,4979,18889.0,interneurons,4979,0.0,0.0
1772067082_B01,1772067082_B01,interneurons,4506,14845.0,interneurons,4507,0.0,0.0
1772066099_C04,1772066099_C04,interneurons,5409,22382.0,interneurons,5410,0.0,0.0
1772071040_A12,1772071040_A12,interneurons,5791,22807.0,interneurons,5795,0.0,0.0
1772063078_F01,1772063078_F01,interneurons,5352,21846.0,interneurons,5352,0.0,0.0
1772067082_F03,1772067082_F03,interneurons,4615,17596.0,interneurons,4615,0.0,0.0
1772071044_A03,1772071044_A03,interneurons,4572,15094.0,interneurons,4574,0.0,0.0
1772067060_B04,1772067060_B04,interneurons,6901,37830.0,interneurons,6903,0.0,0.0
1772071045_C11,1772071045_C11,interneurons,6045,25826.0,interneurons,6045,0.0,0.0
1772067083_B10,1772067083_B10,interneurons,5316,20794.0,interneurons,5317,0.0,0.0
1772066077_E08,1772066077_E08,interneurons,6132,22495.0,interneurons,6133,0.0,0.0
1772063078_F12,1772063078_F12,interneurons,4018,11787.0,interneurons,4018,0.0,0.0
1772062115_C05,1772062115_C05,interneurons,3260,9101.0,interneurons,3260,0.0,0.0
1772066099_C11,1772066099_C11,interneurons,5917,28439.0,interneurons,5917,0.0,0.0
1772063064_G03,1772063064_G03,interneurons,4347,12824.0,interneurons,4347,0.0,0.0
1772071036_E09,1772071036_E09,interneurons,4928,16139.0,interneurons,4930,0.0,0.0
1772062128_D11,1772062128_D11,interneurons,3541,15133.0,interneurons,3541,0.0,0.0
1772067058_A12,1772067058_A12,interneurons,6435,29096.0,interneurons,6435,0.0,0.0
1772063078_B02,1772063078_B02,interneurons,5524,20706.0,interneurons,5524,0.0,0.0
1772066108_E06,1772066108_E06,interneurons,6028,26740.0,interneurons,6029,0.0,0.0
1772066100_A12,1772066100_A12,interneurons,4201,12428.0,interneurons,4202,0.0,0.0
1772066073_B03,1772066073_B03,interneurons,4687,16333.0,interneurons,4687,0.0,0.0
1772067076_A06,1772067076_A06,interneurons,7062,35305.0,interneurons,7064,0.0,0.0
1772062111_G03,1772062111_G03,interneurons,3035,9008.0,interneurons,3035,0.0,0.0
1772063061_H03,1772063061_H03,interneurons,3148,10930.0,interneurons,3148,0.0,0.0
1772066097_H05,1772066097_H05,interneurons,4922,17196.0,interneurons,4922,0.0,0.0
1772067065_A02,1772067065_A02,interneurons,4606,18070.0,interneurons,4607,0.0,0.0
1772066077_H12,1772066077_H12,interneurons,4254,12924.0,interneurons,4254,0.0,0.0
1772062128_G04,1772062128_G04,interneurons,3605,12726.0,interneurons,3607,0.0,0.0
1772062109_H03,1772062109_H03,interneurons,4401,14225.0,interneurons,4401,0.0,0.0
1772063063_F01,1772063063_F01,interneurons,5297,19945.0,interneurons,5297,0.0,0.0
1772062128_B10,1772062128_B10,interneurons,4223,16942.0,interneurons,4225,0.0,0.0
1772063061_B03,1772063061_B03,interneurons,4146,15676.0,interneurons,4146,0.0,0.0
1772063061_B05,1772063061_B05,interneurons,4916,24848.0,interneurons,4916,0.0,0.0
1772058177_G09,1772058177_G09,interneurons,4235,20881.0,interneurons,4235,0.0,0.0
1772066095_D02,1772066095_D02,interneurons,5322,25538.0,interneurons,5323,0.0,0.0
1772066097_G12,1772066097_G12,interneurons,5855,31356.0,interneurons,5856,0.0,0.0
1772066097_G02,1772066097_G02,interneurons,5624,23170.0,interneurons,5625,0.0,0.0
1772066100_G07,1772066100_G07,interneurons,4239,15209.0,interneurons,4239,0.0,0.0
1772066097_H01,1772066097_H01,interneurons,3948,11797.0,interneurons,3948,0.0,0.0
1772071045_H03,1772071045_H03,interneurons,3791,10525.0,interneurons,3792,0.0,0.0
1772067083_F08,1772067083_F08,interneurons,4194,12492.0,interneurons,4195,0.0,0.0
1772067083_H01,1772067083_H01,interneurons,3330,10012.0,interneurons,3330,0.0,0.0
1772066101_F04,1772066101_F04,interneurons,5958,27633.0,interneurons,5958,0.0,0.0
1772067058_H12,1772067058_H12,interneurons,4795,17139.0,interneurons,4795,0.0,0.0
1772067082_F02,1772067082_F02,interneurons,6241,29077.0,interneurons,6241,0.0,0.0
1772067058_H05,1772067058_H05,interneurons,6782,33119.0,interneurons,6782,0.0,0.0
1772071035_B09,1772071035_B09,interneurons,6784,33881.0,interneurons,6784,0.0,0.0
1772071015_H07,1772071015_H07,interneurons,7327,51014.0,interneurons,7327,0.0,0.0
1772071036_C02,1772071036_C02,interneurons,7477,51033.0,interneurons,7479,0.0,0.0
1772066108_F04,1772066108_F04,interneurons,6432,39022.0,interneurons,6432,0.0,0.0
1772071035_H02,1772071035_H02,interneurons,5537,24621.0,interneurons,5537,0.0,0.0
1772062109_H07,1772062109_H07,interneurons,6353,33058.0,interneurons,6354,0.0,0.0
1772067076_E03,1772067076_E03,interneurons,6704,33893.0,interneurons,6705,0.0,0.0
1772067059_G10,1772067059_G10,interneurons,7774,46106.0,interneurons,7775,0.0,0.0
1772067076_D04,1772067076_D04,interneurons,6686,41575.0,interneurons,6688,0.0,0.0
1772066099_H06,1772066099_H06,interneurons,6198,34932.0,interneurons,6198,0.0,0.0
1772066102_G12,1772066102_G12,interneurons,6561,30842.0,interneurons,6561,0.0,0.0
1772071035_E07,1772071035_E07,interneurons,7921,57839.0,interneurons,7922,0.0,0.0
1772066073_B02,1772066073_B02,interneurons,6912,35517.0,interneurons,6912,0.0,0.0
1772067076_A03,1772067076_A03,interneurons,5118,22359.0,interneurons,5118,0.0,0.0
1772066102_B11,1772066102_B11,interneurons,6578,30948.0,interneurons,6578,0.0,0.0
1772066089_A01,1772066089_A01,interneurons,5797,26941.0,interneurons,5797,0.0,0.0
1772066099_A01,1772066099_A01,interneurons,6389,27407.0,interneurons,6389,0.0,0.0
1772067057_H04,1772067057_H04,interneurons,6742,32144.0,interneurons,6743,0.0,0.0
1772066102_C11,1772066102_C11,interneurons,6861,36954.0,interneurons,6861,0.0,0.0
1772071045_A10,1772071045_A10,interneurons,4965,17365.0,interneurons,4965,0.0,0.0
1772066096_G01,1772066096_G01,interneurons,5486,22102.0,interneurons,5487,0.0,0.0
1772066102_H10,1772066102_H10,interneurons,5039,18779.0,interneurons,5039,0.0,0.0
1772066099_C12,1772066099_C12,interneurons,5052,19041.0,interneurons,5054,0.0,0.0
1772071044_H10,1772071044_H10,interneurons,6227,30242.0,interneurons,6227,0.0,0.0
1772067083_D10,1772067083_D10,interneurons,3861,11661.0,interneurons,3861,0.0,0.0
1772066099_E04,1772066099_E04,interneurons,5364,16839.0,interneurons,5373,0.0,0.0
1772066100_D08,1772066100_D08,interneurons,4095,13030.0,interneurons,4095,0.0,0.0
1772066099_H02,1772066099_H02,interneurons,3443,9816.0,interneurons,3445,0.0,0.0
1772066089_H04,1772066089_H04,interneurons,4280,12756.0,interneurons,4280,0.0,0.0
1772066089_B06,1772066089_B06,interneurons,4877,16690.0,interneurons,4877,0.0,0.0
1772066102_G08,1772066102_G08,interneurons,4907,14828.0,interneurons,4909,0.0,0.0
1772066102_A04,1772066102_A04,interneurons,4875,14998.0,interneurons,4875,0.0,0.0
1772066097_B06,1772066097_B06,interneurons,5040,16929.0,interneurons,5041,0.0,0.0
1772067076_E04,1772067076_E04,interneurons,6276,25524.0,interneurons,6281,0.0,0.0
1772066097_C06,1772066097_C06,interneurons,4698,16519.0,interneurons,4698,0.0,0.0
1772067057_D12,1772067057_D12,interneurons,5664,22702.0,interneurons,5667,0.0,0.0
1772066100_A05,1772066100_A05,interneurons,4122,13976.0,interneurons,4123,0.0,0.0
1772066101_F03,1772066101_F03,interneurons,3043,7121.0,interneurons,3043,0.0,0.0
1772071014_A06,1772071014_A06,interneurons,2679,7101.0,interneurons,2681,0.0,0.0
1772071015_A11,1772071015_A11,interneurons,4387,13598.0,interneurons,4387,0.0,0.0
1772071015_C09,1772071015_C09,interneurons,3422,12302.0,interneurons,3422,0.0,0.0
1772063071_A06,1772063071_A06,interneurons,2299,6968.0,interneurons,2300,0.0,0.0
1772058148_F09,1772058148_F09,interneurons,2994,8389.0,interneurons,2995,0.0,0.0
1772067066_H09,1772067066_H09,interneurons,3172,8039.0,interneurons,3179,0.0,0.0
1772067065_G10,1772067065_G10,interneurons,3133,8007.0,interneurons,3133,0.0,0.0
1772071015_A05,1772071015_A05,interneurons,3076,9559.0,interneurons,3076,0.0,0.0
1772067065_B10,1772067065_B10,interneurons,3336,9258.0,interneurons,3336,0.0,0.0
1772067065_A01,1772067065_A01,interneurons,2864,9287.0,interneurons,2864,0.0,0.0
1772062128_F10,1772062128_F10,interneurons,3457,14325.0,interneurons,3457,0.0,0.0
1772071017_H06,1772071017_H06,interneurons,4184,16491.0,interneurons,4185,0.0,0.0
1772071014_A12,1772071014_A12,interneurons,3950,14186.0,interneurons,3951,0.0,0.0
1772067065_F08,1772067065_F08,interneurons,3166,8009.0,interneurons,3167,0.0,0.0
1772058148_H04,1772058148_H04,interneurons,3386,9335.0,interneurons,3386,0.0,0.0
1772066102_B06,1772066102_B06,interneurons,3586,9425.0,interneurons,3586,0.0,0.0
1772063077_H05,1772063077_H05,interneurons,3804,10708.0,interneurons,3804,0.0,0.0
1772067076_A12,1772067076_A12,interneurons,5726,21239.0,interneurons,5740,0.0,0.0
1772067065_B12,1772067065_B12,interneurons,2162,6247.0,interneurons,2162,0.0,0.0
1772067065_G11,1772067065_G11,interneurons,3986,13544.0,interneurons,3986,0.0,0.0
1772067066_A10,1772067066_A10,interneurons,3050,10498.0,interneurons,3050,0.0,0.0
1772067066_E02,1772067066_E02,interneurons,3173,10203.0,interneurons,3173,0.0,0.0
1772067066_A11,1772067066_A11,interneurons,3693,12267.0,interneurons,3693,0.0,0.0
1772067065_B09,1772067065_B09,interneurons,3582,9795.0,interneurons,3582,0.0,0.0
1772067065_F10,1772067065_F10,interneurons,3653,9859.0,interneurons,3653,0.0,0.0
1772063063_H03,1772063063_H03,interneurons,3712,10839.0,interneurons,3712,0.0,0.0
1772071017_A01,1772071017_A01,interneurons,5187,15972.0,interneurons,5188,0.0,0.0
1772067066_D04,1772067066_D04,interneurons,3468,11743.0,interneurons,3468,0.0,0.0
1772067065_G12,1772067065_G12,interneurons,2647,8158.0,interneurons,2648,0.0,0.0
1772071017_G05,1772071017_G05,interneurons,3828,12883.0,interneurons,3828,0.0,0.0
1772071017_D12,1772071017_D12,interneurons,4315,17105.0,interneurons,4315,0.0,0.0
1772071015_A01,1772071015_A01,interneurons,4369,15589.0,interneurons,4369,0.0,0.0
1772071017_H10,1772071017_H10,interneurons,4444,15121.0,interneurons,4444,0.0,0.0
1772063070_B10,1772063070_B10,interneurons,4191,13216.0,interneurons,4191,0.0,0.0
1772063065_C02,1772063065_C02,interneurons,2694,6663.0,interneurons,2694,0.0,0.0
1772071015_E10,1772071015_E10,interneurons,3623,10407.0,interneurons,3623,0.0,0.0
1772067082_B09,1772067082_B09,interneurons,3221,7545.0,interneurons,3221,0.0,0.0
1772062115_H01,1772062115_H01,interneurons,3888,10302.0,interneurons,3888,0.0,0.0
1772071041_B06,1772071041_B06,interneurons,2968,6184.0,interneurons,2968,0.0,0.0
1772066090_C05,1772066090_C05,interneurons,5798,18472.0,interneurons,5800,0.0,0.0
1772067096_F07,1772067096_F07,interneurons,3532,12187.0,interneurons,3532,0.0,0.0
1772071015_F05,1772071015_F05,interneurons,3710,13443.0,interneurons,3710,0.0,0.0
1772067083_G04,1772067083_G04,interneurons,3129,7688.0,interneurons,3129,0.0,0.0
1772062115_G06,1772062115_G06,interneurons,3051,7075.0,interneurons,3052,0.0,0.0
1772071015_G09,1772071015_G09,interneurons,3884,11973.0,interneurons,3884,0.0,0.0
1772066095_F07,1772066095_F07,interneurons,3304,12490.0,interneurons,3304,0.0,0.0
1772071017_G02,1772071017_G02,interneurons,4187,12861.0,interneurons,4187,0.0,0.0
1772062111_C11,1772062111_C11,interneurons,3898,13328.0,interneurons,3900,0.0,0.0
1772058148_H03,1772058148_H03,interneurons,3871,11279.0,interneurons,3871,0.0,0.0
1772066100_D06,1772066100_D06,interneurons,2906,7598.0,interneurons,2906,0.0,0.0
1772071017_C10,1772071017_C10,interneurons,3366,9035.0,interneurons,3366,0.0,0.0
1772071014_B10,1772071014_B10,interneurons,4269,13662.0,interneurons,4269,0.0,0.0
1772062128_G06,1772062128_G06,interneurons,2627,9572.0,interneurons,2627,0.0,0.0
1772067057_A08,1772067057_A08,interneurons,3068,7052.0,interneurons,3068,0.0,0.0
1772063068_F12,1772063068_F12,interneurons,3331,8459.0,interneurons,3331,0.0,0.0
1772063074_E11,1772063074_E11,interneurons,3285,8243.0,interneurons,3285,0.0,0.0
1772066100_D04,1772066100_D04,interneurons,3413,10445.0,interneurons,3413,0.0,0.0
1772066100_F03,1772066100_F03,interneurons,3509,9761.0,interneurons,3509,0.0,0.0
1772067093_D01,1772067093_D01,interneurons,3322,9924.0,interneurons,3322,0.0,0.0
1772066100_E01,1772066100_E01,interneurons,3001,8320.0,interneurons,3001,0.0,0.0
1772067073_C01,1772067073_C01,interneurons,3066,8495.0,interneurons,3066,0.0,0.0
1772067083_B11,1772067083_B11,interneurons,3183,8171.0,interneurons,3183,0.0,0.0
1772067054_F12,1772067054_F12,interneurons,3444,12498.0,interneurons,3444,0.0,0.0
1772058177_D04,1772058177_D04,interneurons,3009,9896.0,interneurons,3011,0.0,0.0
1772067082_H03,1772067082_H03,interneurons,3892,10500.0,interneurons,3892,0.0,0.0
1772071017_D01,1772071017_D01,interneurons,3055,9443.0,interneurons,3055,0.0,0.0
1772067094_H08,1772067094_H08,interneurons,2936,9497.0,interneurons,2936,0.0,0.0
1772067096_A01,1772067096_A01,interneurons,2568,11045.0,interneurons,2569,0.0,0.0
1772058148_H08,1772058148_H08,interneurons,3770,10419.0,interneurons,3771,0.0,0.0
1772067093_F03,1772067093_F03,interneurons,3030,9804.0,interneurons,3030,0.0,0.0
1772071015_E08,1772071015_E08,interneurons,4104,13665.0,interneurons,4105,0.0,0.0
1772067083_C02,1772067083_C02,interneurons,2296,5587.0,interneurons,2296,0.0,0.0
1772066100_H07,1772066100_H07,interneurons,4769,15713.0,interneurons,4769,0.0,0.0
1772071014_C04,1772071014_C04,interneurons,3846,12131.0,interneurons,3846,0.0,0.0
1772067096_G05,1772067096_G05,interneurons,3070,10729.0,interneurons,3070,0.0,0.0
1772071017_A08,1772071017_A08,interneurons,3690,10736.0,interneurons,3691,0.0,0.0
1772066097_G04,1772066097_G04,interneurons,3095,6743.0,interneurons,3095,0.0,0.0
1772067094_A09,1772067094_A09,interneurons,2910,10682.0,interneurons,2911,0.0,0.0
1772067082_D05,1772067082_D05,interneurons,2570,5791.0,interneurons,2570,0.0,0.0
1772067082_B03,1772067082_B03,interneurons,2490,5482.0,interneurons,2490,0.0,0.0
1772063064_B06,1772063064_B06,interneurons,3139,8002.0,interneurons,3139,0.0,0.0
1772067082_D04,1772067082_D04,interneurons,4317,13364.0,interneurons,4317,0.0,0.0
1772067065_A08,1772067065_A08,interneurons,3898,9972.0,interneurons,3898,0.0,0.0
1772066100_F08,1772066100_F08,interneurons,3431,9216.0,interneurons,3431,0.0,0.0
1772067082_C02,1772067082_C02,interneurons,3421,9526.0,interneurons,3421,0.0,0.0
1772067082_B02,1772067082_B02,interneurons,4058,11101.0,interneurons,4059,0.0,0.0
1772067093_H07,1772067093_H07,interneurons,4105,18559.0,interneurons,4106,0.0,0.0
1772071017_A06,1772071017_A06,interneurons,4668,16341.0,interneurons,4668,0.0,0.0
1772071014_F12,1772071014_F12,interneurons,3854,12501.0,interneurons,3855,0.0,0.0
1772071014_E02,1772071014_E02,interneurons,4435,12400.0,interneurons,4435,0.0,0.0
1772067069_H02,1772067069_H02,pyramidal SS,4629,18874.0,pyramidal SS,4630,0.0,0.0
1772063071_B07,1772063071_B07,pyramidal SS,5574,29662.0,pyramidal SS,5575,0.0,0.0
1772067073_F04,1772067073_F04,pyramidal SS,6495,33667.0,pyramidal SS,6495,0.0,0.0
1772067069_A03,1772067069_A03,pyramidal SS,5444,24917.0,pyramidal SS,5445,0.0,0.0
1772067066_E04,1772067066_E04,pyramidal SS,5929,31438.0,pyramidal SS,5929,0.0,0.0
1772067063_C05,1772067063_C05,pyramidal SS,7936,55428.0,pyramidal SS,7936,0.0,0.0
1772067069_C12,1772067069_C12,pyramidal SS,4276,16900.0,pyramidal SS,4278,0.0,0.0
1772067064_C12,1772067064_C12,pyramidal SS,6942,37572.0,pyramidal SS,6942,0.0,0.0
1772071041_F07,1772071041_F07,pyramidal SS,5376,23984.0,pyramidal SS,5376,0.0,0.0
1772071040_B04,1772071040_B04,pyramidal SS,5824,22186.0,pyramidal SS,5824,0.0,0.0
1772067063_E09,1772067063_E09,pyramidal SS,6541,34476.0,pyramidal SS,6541,0.0,0.0
1772067070_D04,1772067070_D04,pyramidal SS,4688,21178.0,pyramidal SS,4690,0.0,0.0
1772067064_C07,1772067064_C07,pyramidal SS,6686,37386.0,pyramidal SS,6686,0.0,0.0
1772067069_A11,1772067069_A11,pyramidal SS,5278,22943.0,pyramidal SS,5278,0.0,0.0
1772067064_H09,1772067064_H09,pyramidal SS,7403,39703.0,pyramidal SS,7403,0.0,0.0
1772071040_B01,1772071040_B01,pyramidal SS,5300,21211.0,pyramidal SS,5303,0.0,0.0
